taxaId	timeNum
1V02X15	2
1V02X16	2
1V02X17	2
1V02X18	2
1V02X19	2
1V02X20	2
1V02X24	2
1V04X05	4
1V04X12	4
1V04X22	4
1V04X24	4
1V04X25	4
1V04X27	4
1V04X30	4
1V04X32	4
1V04X33	4
1V04X38	4
1V05X44	5
1V05X52	5
1V05X53	5
1V05X55	5
1V05X57	5
1V05X60	5
1V05X61	5
1V05X62	5
1V05X71	5
1V07X64	7
1V07X66	7
1V07X67	7
1V07X75	7
1V07X77	7
1V07X79	7
1V07X81	7
1V07X86	7
1V09X81	9
1V09X84	9
1V09X86	9
1V09X90	9
1V09X92	9
1V09X93	9
1V09X96	9
1V09X98	9
1V09X435	9
1V09X440	9
1V10X106	10
1V10X114	10
1V10X115	10
1V10X120	10
1V10X323	10
1V10X326	10
1V11X01	11
1V11X03	11
1V11X04	11
1V11X05	11
1V11X06	11
1V11X08	11
1V11X10	11
1V11X11	11
1V11X12	11
1V11X13	11
1V12X121	12
1V12X123	12
1V12X126	12
1V12X127	12
1V12X128	12
1V12X132	12
1V12X134	12
1V12X136	12
1V13X141	13
1V13X144	13
1V13X146	13
1V13X147	13
1V13X149	13
1V13X150	13
1V13X151	13
1V13X158	13
1V13X159	13
1V14X167	14
1V14X173	14
1V14X176	14
1V14X306	14
1V14X307	14
1V14X308	14
1V14X311	14
1V14X313	14
1V14X315	14
1V14X317	14
1V15X326	15
1V15X332	15
1V15X333	15
1V15X335	15
1V15X336	15
1V15X337	15
1V15X338	15
1V15X339	15
1V15X340	15
1V15X341	15
1V16X202	16
1V16X203	16
1V16X204	16
1V16X206	16
1V16X208	16
1V16X209	16
1V16X213	16
1V16X214	16
1V16X215	16
1V16X216	16
1V17X222	17
1V17X224	17
1V17X225	17
1V17X229	17
1V17X236	17
1V17X347	17
1V17X426	17
1V17X434	17
1V17X435	17
1V17X436	17
1V18X242	18
1V18X243	18
1V18X245	18
1V18X246	18
1V18X248	18
1V18X252	18
1V18X253	18
1V18X258	18
1V18X259	18
1V18X264	18
1V19X265	19
1V19X266	19
1V19X269	19
1V19X272	19
1V19X273	19
1V19X275	19
1V19X276	19
1V19X277	19
1V19X282	19
1V19X283	19
